date,time,ozone_anaheim,no_anaheim,no2_anaheim,RH_anaheim,TEMP_anaheim,WINDIR_anaheim,WINDSPEED_anaheim
2020/01/11,08:00:00,0.0018,42.9,23.900000000000002,76.3,48.68,58.0,3.0
2020/01/11,09:00:00,0.0064,29.8,23.900000000000002,70.3,53.61,77.0,3.0
2020/01/11,10:00:00,0.0224,7.1000000000000005,13.299999999999999,70.7,58.2,158.0,2.0
2020/01/11,11:00:00,0.0296,2.8,8.9,67.6,59.99,233.0,1.0
2020/01/11,12:00:00,0.0392,1.1,3.5,59.5,60.64,213.0,4.0
2020/01/11,13:00:00,0.0399,1.1,3.3,57.8,61.29,210.0,4.0
2020/01/11,14:00:00,0.0401,1.0,3.7,59.5,60.91,186.0,4.0
2020/01/11,15:00:00,0.0395,0.9,3.8,61.6,61.15,193.0,4.0
2020/01/11,16:00:00,0.0351,0.9,6.1000000000000005,70.7,58.94,221.0,4.0
2020/01/11,17:00:00,0.0299,0.8,9.1,76.7,57.12,191.0,2.0
2020/01/11,18:00:00,0.0198,1.2,15.7,79.0,55.66,185.0,2.0
2020/01/11,19:00:00,0.0127,2.1,21.8,80.9,54.63,0.0,1.0
2020/01/11,20:00:00,0.0058,5.8999999999999995,26.8,81.4,54.08,84.0,1.0
2020/01/11,21:00:00,0.0033,3.8,28.0,82.7,52.81,110.0,1.0
2020/01/11,22:00:00,0.0065,3.5,23.599999999999998,83.9,51.9,79.0,2.0
2020/01/11,23:00:00,0.0014,6.6,26.8,85.7,50.71,66.0,2.0
2020/01/12,00:00:00,0.003,4.8999999999999995,24.400000000000002,86.8,49.67,66.0,3.0
2020/01/12,01:00:00,0.0032,3.3,23.400000000000002,86.9,49.27,52.0,2.0
2020/01/12,02:00:00,0.0028,5.4,21.9,86.2,49.48,52.0,2.0
2020/01/12,03:00:00,0.0065,1.8,16.8,86.1,49.57,56.0,2.0
2020/01/12,04:00:00,0.0044,2.5,18.9,85.9,49.78,48.0,2.0
2020/01/12,05:00:00,0.0037,3.1,19.599999999999998,85.1,50.16,48.0,3.0
2020/01/12,06:00:00,0.0034,3.8,20.7,85.1,49.36,96.0,1.0
2020/01/12,07:00:00,0.0036,9.5,20.2,84.7,49.57,58.0,1.0
2020/01/12,08:00:00,0.0102,10.9,16.7,78.1,52.92,56.0,3.0
2020/01/12,09:00:00,0.0223,5.7,11.4,67.7,56.87,74.0,2.0
2020/01/12,10:00:00,0.0343,2.5,6.5,57.8,59.8,350.0,1.0
2020/01/12,11:00:00,0.0373,2.1,5.8,52.3,60.89,283.0,1.0
2020/01/12,12:00:00,0.0385,2.2,6.3,48.6,61.95,290.0,2.0
2020/01/12,13:00:00,0.0402,2.2,7.1000000000000005,48.9,62.63,276.0,3.0
2020/01/12,14:00:00,0.0409,1.9,7.5,57.6,61.23,241.0,5.0
2020/01/12,15:00:00,0.0394,1.8,9.6,61.1,60.74,247.0,5.0
2020/01/12,16:00:00,0.0364,1.0,9.4,65.7,58.84,233.0,5.0
2020/01/12,17:00:00,0.0337,0.9,11.9,70.7,57.03,237.0,3.0
2020/01/12,18:00:00,0.0259,1.2,17.5,77.2,55.5,205.0,2.0
2020/01/12,19:00:00,0.0132,2.0,28.2,81.5,54.09,0.0,1.0
2020/01/12,20:00:00,0.01,2.6,30.200000000000003,84.0,53.3,0.0,1.0
2020/01/12,21:00:00,0.0031,7.8,34.0,84.6,52.51,0.0,1.0
2020/01/12,22:00:00,0.0075,2.7,22.5,83.3,51.24,98.0,2.0
2020/01/12,23:00:00,0.0074,2.3,21.6,83.8,50.33,96.0,1.0
2020/01/13,00:00:00,0.0004,15.4,27.799999999999997,85.8,49.28,47.0,2.0
2020/01/13,01:00:00,0.0025,6.4,24.5,87.6,48.5,52.0,2.0
2020/01/13,02:00:00,0.0084,2.1,18.1,86.5,49.32,57.0,2.0
2020/01/13,03:00:00,0.0043,3.1,22.2,85.5,49.63,48.0,2.0
2020/01/13,04:00:00,0.007,2.8,19.900000000000002,82.7,50.96,65.0,3.0
2020/01/13,05:00:00,0.0031,6.0,26.8,81.3,51.88,69.0,3.0
2020/01/13,06:00:00,0.0003,15.299999999999999,30.8,80.5,52.15,56.0,2.0
2020/01/13,07:00:00,0.0013,30.099999999999998,30.099999999999998,79.7,52.3,56.0,2.0
2020/01/13,08:00:00,0.0067,24.7,25.8,74.2,54.11,60.0,3.0
2020/01/13,09:00:00,0.0173,13.100000000000001,21.1,63.8,57.53,83.0,1.0
2020/01/13,10:00:00,0.0368,2.8,8.200000000000001,54.1,60.32,0.0,1.0
2020/01/13,11:00:00,0.0393,2.7,8.0,50.5,61.64,0.0,1.0
2020/01/13,12:00:00,0.0401,2.2,8.9,51.3,61.31,284.0,2.0
2020/01/13,13:00:00,0.041,2.0,7.9,57.1,61.25,235.0,4.0
2020/01/13,14:00:00,0.0425,1.8,7.6,56.3,62.11,224.0,3.0
2020/01/13,15:00:00,0.0408,2.0,9.0,58.9,61.3,247.0,4.0
2020/01/13,16:00:00,0.0381,1.2,10.9,63.9,59.61,255.0,4.0
2020/01/13,17:00:00,0.0344,0.9,11.799999999999999,74.2,57.17,232.0,4.0
2020/01/13,18:00:00,0.027,1.0,16.8,78.7,56.03,228.0,1.0
2020/01/13,19:00:00,0.013,1.7,26.1,81.3,54.88,0.0,0.0
2020/01/13,20:00:00,0.0043,8.0,35.4,83.4,54.07,0.0,0.0
2020/01/13,21:00:00,0.0001,22.5,36.6,83.7,53.15,0.0,0.0
2020/01/13,22:00:00,0.0002,36.7,36.1,85.0,52.1,66.0,1.0
2020/01/13,23:00:00,0.0002,41.099999999999994,33.099999999999994,85.8,50.72,75.0,1.0
2020/01/14,00:00:00,0.0,33.0,30.200000000000003,87.2,49.43,90.0,1.0
